one,two,three,four,State,County,fips
450000,576050,696350,865400,AZ,Coconino,4005
437500,560050,677000,841350,CA,Inyo,6027
437500,560050,677000,841350,CA,Tuolumne,6109
729750,934200,1129250,1403400,CA,Los Angeles,6037
729750,934200,1129250,1403400,CA,Orange,6059
729750,934200,1129250,1403400,CA,Napa,6055
729750,934200,1129250,1403400,CA,Ventura,6111
729750,934200,1129250,1403400,CA,Monterey,6053
729750,934200,1129250,1403400,CA,Alameda,6001
729750,934200,1129250,1403400,CA,Contra Costa,6013
729750,934200,1129250,1403400,CA,Marin,6041
729750,934200,1129250,1403400,CA,San Francisco,6075
729750,934200,1129250,1403400,CA,San Mateo,6081
729750,934200,1129250,1403400,CA,San Benito,6069
729750,934200,1129250,1403400,CA,Santa Clara,6085
729750,934200,1129250,1403400,CA,Santa Barbara,6083
729750,934200,1129250,1403400,CA,Santa Cruz,6087
425000,544050,657650,817300,CA,Madera,6039
425000,544050,657650,817300,CA,Sutter,6101
425000,544050,657650,817300,CA,Yuba,6115
472500,604900,731150,908650,CA,Merced,6047
423750,542450,655700,814900,CA,Stanislaus,6099
423750,542450,655700,814900,CA,Shasta,6089
500000,640100,773700,961550,CA,Riverside,6065
500000,640100,773700,961550,CA,San Bernardino,6071
580000,742500,897500,1115400,CA,El Dorado,6017
580000,742500,897500,1115400,CA,Placer,6061
580000,742500,897500,1115400,CA,Sacramento,6067
580000,742500,897500,1115400,CA,Yolo,6113
697500,892950,1079350,1341350,CA,San Diego,6073
687500,880100,1063850,1322150,CA,San Luis Obispo,6079
662500,848100,1025200,1274050,CA,Sonoma,6097
488750,625700,756300,939900,CA,San Joaquin,6077
562500,720100,870450,1081750,CA,Nevada,6057
512500,656100,793050,985600,CA,Mendocino,6045
557500,713700,862700,1072150,CA,Solano,6095
547500,700900,847200,1052900,CA,Alpine County,6003
443750,568050,686650,853350,CA,Amador County,6005
462500,592050,715700,889450,CA,Calaveras County,6009
462500,592050,715700,889450,CA,Mono County,6051
460000,588850,711800,884600,CO,Boulder,8013
443750,568050,686650,853350,CO,La Plata,8067
729750,934200,1129250,1403400,CO,Eagle,8037
729750,934200,1129250,1403400,CO,Lake,8065
729750,934200,1129250,1403400,CO,Summit,8117
729750,934200,1129250,1403400,CO,Pitkin County,8097
417500,534450,646050,802900,CO,Weld,8123
425000,544050,657650,817300,CO,Garfield County,8045
425000,544050,657650,817300,CO,San Juan County,8111
433750,555250,671200,834150,CO,Gunnison County,8051
557500,713700,862700,1072150,CO,Hinsdale County,8053
482500,617700,746650,927900,CO,Ouray County,8091
675000,864100,1044550,1298100,CO,Routt County,8107
651250,833700,1007750,1252400,CO,San Miguel County,8113
708750,907350,1096750,1363000,CT,Fairfield,9001
440000,563250,680850,846150,CT,Hartford,9003
440000,563250,680850,846150,CT,Middlesex,9007
440000,563250,680850,846150,CT,Tolland,9013
729750,934200,1129250,1403400,DC,District of Columbia,11001
420000,537650,649900,807700,DE,New Castle,10003
729750,934200,1129250,1403400,FL,Monroe,12087
423750,542450,655700,814900,FL,Broward,12011
423750,542450,655700,814900,FL,Miami-Dade,12086
423750,542450,655700,814900,FL,Palm Beach,12099
531250,680100,822050,1021650,FL,Collier,12021
442500,566450,684750,850950,FL,Manatee,12081
442500,566450,684750,850950,FL,Sarasota,12115
662500,848100,1025200,1274050,GA,Greene County,13133
793750,1016150,1228300,1526450,HI,Honolulu,15003
790000,1011350,1222500,1519250,HI,Maui,15009
773750,990550,1197350,1488000,HI,Kauai,15007
716250,916950,1108350,1377450,HI,Kalawao County,15005
693750,888100,1073550,1334150,ID,Teton,16081
729750,934200,1129250,1403400,ID,Blaine County,16013
462500,592050,715700,889450,ID,Valley County,16085
462500,592050,715700,889450,MA,Barnstable,25001
523750,670500,810450,1007200,MA,Essex,25009
523750,670500,810450,1007200,MA,Middlesex,25017
523750,670500,810450,1007200,MA,Norfolk,25021
523750,670500,810450,1007200,MA,Plymouth,25023
523750,670500,810450,1007200,MA,Suffolk,25025
475000,608100,735050,913450,MA,Bristol,25005
729750,934200,1129250,1403400,MA,Dukes County,25007
729750,934200,1129250,1403400,MA,Nantucket County,25019
560000,716900,866550,1076950,MD,Anne Arundel,24003
560000,716900,866550,1076950,MD,Carroll,24013
560000,716900,866550,1076950,MD,Harford,24025
560000,716900,866550,1076950,MD,Howard,24027
560000,716900,866550,1076950,MD,Queen Anne's,24035
443750,568050,686650,853350,MD,Talbot,24041
437500,560050,677000,841350,MD,Worcester,24047
437500,560050,677000,841350,MD,Garrett County,24023
420000,537650,649900,807700,MD,Cecil,24015
729750,934200,1129250,1403400,MD,Calvert,24009
729750,934200,1129250,1403400,MD,Charles,24017
729750,934200,1129250,1403400,MD,Frederick,24021
729750,934200,1129250,1403400,MD,Montgomery,24031
729750,934200,1129250,1403400,MD,Prince George's,24033
729750,934200,1129250,1403400,NC,Camden,37029
729750,934200,1129250,1403400,NC,Pasquotank,37139
729750,934200,1129250,1403400,NC,Perquimans,37143
460000,588850,711800,884600,NC,Dare,37055
428750,548850,663450,824500,NC,Currituck,37053
523750,670500,810450,1007200,NH,Rockingham,33015
523750,670500,810450,1007200,NH,Strafford,33017
453750,580850,702150,872600,NJ,Atlantic,34001
729750,934200,1129250,1403400,NJ,Bergen,34003
729750,934200,1129250,1403400,NJ,Essex,34013
729750,934200,1129250,1403400,NJ,Hudson,34017
729750,934200,1129250,1403400,NJ,Hunterdon,34019
729750,934200,1129250,1403400,NJ,Middlesex,34023
729750,934200,1129250,1403400,NJ,Monmouth,34025
729750,934200,1129250,1403400,NJ,Morris,34027
729750,934200,1129250,1403400,NJ,Ocean,34029
729750,934200,1129250,1403400,NJ,Passaic,34031
729750,934200,1129250,1403400,NJ,Somerset,34035
729750,934200,1129250,1403400,NJ,Sussex,34037
729750,934200,1129250,1403400,NJ,Union,34039
487500,624100,754350,937500,NJ,Cape May,34009
420000,537650,649900,807700,NJ,Burlington,34005
420000,537650,649900,807700,NJ,Camden,34007
420000,537650,649900,807700,NJ,Gloucester,34015
420000,537650,649900,807700,NJ,Salem,34033
440000,563250,680850,846150,NJ,Mercer,34021
427500,547250,661500,822100,NM,Santa Fe,35049
468750,600100,725350,901450,NV,Douglas,32005
729750,934200,1129250,1403400,NY,Bronx,36005
729750,934200,1129250,1403400,NY,Kings,36047
729750,934200,1129250,1403400,NY,Nassua,36059
729750,934200,1129250,1403400,NY,New York,36061
729750,934200,1129250,1403400,NY,Putnam,36079
729750,934200,1129250,1403400,NY,Queens,36081
729750,934200,1129250,1403400,NY,Richmond,36085
729750,934200,1129250,1403400,NY,Rockland,36087
729750,934200,1129250,1403400,NY,Suffolk,36103
729750,934200,1129250,1403400,NY,Westchester,36119
443750,568050,686650,853350,NY,Dutchess,36027
443750,568050,686650,853350,NY,Orange,36071
432500,553650,669250,831750,OH,Athens,39009
447500,572850,692450,860600,OR,Deschutes,41017
422500,540850,653800,812500,OR,Jackson,41029
418750,536050,648000,805300,OR,Clackamas,41005
418750,536050,648000,805300,OR,Columbia,41009
418750,536050,648000,805300,OR,Multnomah,41051
418750,536050,648000,805300,OR,Washington,41067
418750,536050,648000,805300,OR,Yamhill,41071
729750,934200,1129250,1403400,PA,Pike,42103
420000,537650,649900,807700,PA,Bucks,42017
420000,537650,649900,807700,PA,Chester,42029
420000,537650,649900,807700,PA,Delaware,42045
420000,537650,649900,807700,PA,Montgomery,42091
420000,537650,649900,807700,PA,Philadelphia,42101
425000,544050,657650,817300,PA,York,42133
475000,608100,735050,913450,RI,Bristol,44001
475000,608100,735050,913450,RI,Kent,44003
475000,608100,735050,913450,RI,Newport,44005
475000,608100,735050,913450,RI,Providence,44007
475000,608100,735050,913450,RI,Washington,44009
432500,553650,669250,831750,TN,Cannon,47015
432500,553650,669250,831750,TN,Cheatham,47021
432500,553650,669250,831750,TN,Davidson,47037
432500,553650,669250,831750,TN,Dickson,47043
432500,553650,669250,831750,TN,Hickman,47081
432500,553650,669250,831750,TN,Macon,47111
432500,553650,669250,831750,TN,Robertson,47147
432500,553650,669250,831750,TN,Rutherford,47149
432500,553650,669250,831750,TN,Smith,47159
432500,553650,669250,831750,TN,Sumner,47165
432500,553650,669250,831750,TN,Trousdale,47169
432500,553650,669250,831750,TN,Williamson,47187
432500,553650,669250,831750,TN,Wilson,47189
431250,552050,667350,829350,UT,Wasatch,49051
729750,934200,1129250,1403400,UT,Salt Lake,49035
729750,934200,1129250,1403400,UT,Summit,49043
729750,934200,1129250,1403400,UT,Tooele,49045
425000,544050,657650,817300,VA,Albemarle,51003
425000,544050,657650,817300,VA,Fluvanna,51065
425000,544050,657650,817300,VA,Greene,51079
425000,544050,657650,817300,VA,Nelson,51125
528750,676900,818200,1016850,VA,Amelia,51007
528750,676900,818200,1016850,VA,Caroline,51033
528750,676900,818200,1016850,VA,Charles City,51036
528750,676900,818200,1016850,VA,Chesterfield,51041
528750,676900,818200,1016850,VA,Cumberland,51049
528750,676900,818200,1016850,VA,Dinwiddie,51053
528750,676900,818200,1016850,VA,Goochland,51075
528750,676900,818200,1016850,VA,Hanover,51085
528750,676900,818200,1016850,VA,Henrico,51087
528750,676900,818200,1016850,VA,King and Queen,51097
528750,676900,818200,1016850,VA,King William,51101
528750,676900,818200,1016850,VA,Louisa,51109
528750,676900,818200,1016850,VA,New Kent,51127
528750,676900,818200,1016850,VA,Powhatan,51145
528750,676900,818200,1016850,VA,Prince George,51149
528750,676900,818200,1016850,VA,Sussex,51183
428750,548850,663450,824500,VA,Gloucester,51073
428750,548850,663450,824500,VA,Isle of Wight,51093
428750,548850,663450,824500,VA,James City,51095
428750,548850,663450,824500,VA,Mathews,51115
428750,548850,663450,824500,VA,Surry,51181
428750,548850,663450,824500,VA,York,51199
729750,934200,1129250,1403400,VA,Arlington,51013
729750,934200,1129250,1403400,VA,Clarke,51043
729750,934200,1129250,1403400,VA,Fauquier,51061
729750,934200,1129250,1403400,VA,Loudoun,51107
729750,934200,1129250,1403400,VA,Prince William,51153
729750,934200,1129250,1403400,VA,Spotslvania,51177
729750,934200,1129250,1403400,VA,Stafford,51179
729750,934200,1129250,1403400,VA,Warren,51187
475000,608100,735050,913450,VA,Frederick,51069
545000,697700,843350,1048100,VA,Lancaster County,51103
475000,608100,735050,913450,WA,Kitsap,53035
418750,536050,648000,805300,WA,Clark,53011
418750,536050,648000,805300,WA,Skamania,53059
567500,726500,878150,1091350,WA,King,53033
567500,726500,878150,1091350,WA,Pierce,53053
567500,726500,878150,1091350,WA,Snohomish,53061
437500,560050,677000,841350,WA,Jefferson County,53031
593750,760100,918800,1141850,WA,San Juan County,53055
729750,934200,1129250,1403400,WV,Jefferson,54037
475000,608100,735050,913450,WV,Hampshire,54027
693750,888100,1073550,1334150,WY,Teton,56039
